HOSTNAME,SCENARIO,TESTCASE,START_RUN,LOG_INITIATE_SYNC,LOG_START_SYNC,LOG_DUST_START_SYNC,LOG_DUST_STOP_SYNC,SQLITE_DB_SIZE_BYTES,DESCRIPTION
plotter1,FULLSYNC,AUTOTEST1_PR9746,2022-01-08T22:34:56,2022-01-08T22:35:11,2022-01-08T22:37:10,2022-01-09T00:53:46,2022-01-09T16:21:56,40227045376,"No Changes from branch"
plotter1,FULLSYNC,AUTOTEST5_PR9746,2022-01-09T16:22:11,2022-01-09T16:22:25,2022-01-09T16:26:19,2022-01-09T19:45:46,2022-01-10T10:41:22,32158253056,"Only full blocks height + peak index; max blockchain consensus threads, PR9746"
