HOSTNAME,SCENARIO,TESTCASE,START_RUN,LOG_INITIATE_SYNC,LOG_START_SYNC,LOG_DUST_START_SYNC,LOG_DUST_STOP_SYNC,SQLITE_DB_SIZE_BYTES,DESCRIPTION
plotter1,TRANSACTION_START,AUTOTEST5_PR9746,2022-01-08T00:47:55,2022-01-08T00:48:00,2022-01-08T00:49:33,2022-01-08T00:50:34,2022-01-08T00:53:43,1498415104,"Only full blocks height + peak index; max blockchain consensus threads, PR9746"
plotter1,TRANSACTION_START,AUTOTEST5_PR9746,2022-01-08T00:53:50,2022-01-08T00:53:54,2022-01-08T00:59:22,2022-01-08T01:00:05,2022-01-08T01:03:11,1498415104,"Only full blocks height + peak index; max blockchain consensus threads, PR9746"
plotter1,TRANSACTION_START,AUTOTEST45_PR9746,2022-01-08T01:03:18,2022-01-08T01:03:22,2022-01-08T01:05:06,2022-01-08T01:05:51,2022-01-08T01:09:04,1498939392,"Only full blocks height + peak index; locking_mode=exclusive, synchronous=OFF, journal_mode=off, increase coin_records lru cache * 100, cache_spill=false, uncommited=true, max blockchain consensus threads, PR9746"
plotter1,TRANSACTION_START,AUTOTEST45_PR9746,2022-01-08T01:09:17,2022-01-08T01:09:21,2022-01-08T01:10:55,2022-01-08T01:11:49,2022-01-08T01:14:47,1499463680,"Only full blocks height + peak index; locking_mode=exclusive, synchronous=OFF, journal_mode=off, increase coin_records lru cache * 100, cache_spill=false, uncommited=true, max blockchain consensus threads, PR9746"
