HOSTNAME,SCENARIO,TESTCASE,START_RUN,LOG_INITIATE_SYNC,LOG_START_SYNC,LOG_DUST_START_SYNC,LOG_DUST_STOP_SYNC,SQLITE_DB_SIZE_BYTES,DESCRIPTION
plotter1,DUSTSTORM1,AUTOTEST7,2022-01-01T01:58:32,2022-01-01T01:58:41,2022-01-01T02:00:56,2022-01-01T02:01:15,2022-01-01T02:37:42,22398107648,"Only full blocks height + peak index; increase coin_records lru cache * 100"
plotter1,DUSTSTORM1,AUTOTEST27,2022-01-01T02:37:58,2022-01-01T02:38:07,2022-01-01T02:39:06,2022-01-01T02:39:28,2022-01-01T03:17:46,22398107648,"Only full blocks height + peak index; locking_mode=exclusive, cache_spill=false, synchronous=OFF, journal_mode=off, uncommitted=true"
plotter1,DUSTSTORM1,AUTOTEST31,2022-01-01T03:17:53,2022-01-01T03:18:02,2022-01-01T03:19:23,2022-01-01T03:19:44,2022-01-01T03:56:14,22398107648,"Only full blocks height + peak index; cache_spill=false + increase coin_records lru cache * 100"
