2022-01-03T13:13:48.285 daemon chia.daemon.server         : INFO     Starting Daemon Server
2022-01-03T13:13:48.289 daemon chia.daemon.server         : INFO     Waiting Daemon WebSocketServer closure
2022-01-03T13:13:54.789 full_node chia.full_node.full_node: INFO     Initializing blockchain from disk
2022-01-03T13:13:54.795 full_node chia.consensus.blockchain: INFO     Started 2 processes for block validation
2022-01-03T13:14:25.430 full_node full_node_server        : INFO     Connection closed: 109.111.179.145, node id: 54692b9986cbded9310b84e049565f31298ad59f0451bee2b696419d936170af
2022-01-03T13:14:25.433 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '109.111.179.145', 'port': 8444}
2022-01-03T13:14:26.754 full_node full_node_server        : INFO     Cannot connect to host 213.168.178.124:8444 ssl:<ssl.SSLContext object at 0xffff80b7ff40> [Connect call failed ('213.168.178.124', 8444)]
2022-01-03T13:14:26.829 full_node full_node_server        : INFO     Connected with full_node {'host': '170.79.68.202', 'port': 8444}
2022-01-03T13:14:26.836 full_node full_node_server        : INFO     Connection closed: 170.79.68.202, node id: 586a2cfe865a317a89f7b39943fe2cb664612627aced2adb987355234bc97ee0
2022-01-03T13:14:26.838 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '170.79.68.202', 'port': 8444}
2022-01-03T13:14:27.545 full_node full_node_server        : INFO     Connected with full_node {'host': '78.63.150.35', 'port': 8444}
2022-01-03T13:14:27.551 full_node full_node_server        : INFO     Connection closed: 78.63.150.35, node id: 8d937b709fa7ff66e7e5531fad612455fbef4bed6e5a28b141478aae81aa90dc
2022-01-03T13:14:27.553 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '78.63.150.35', 'port': 8444}
2022-01-03T13:14:28.617 full_node full_node_server        : INFO     Connected with full_node {'host': '206.189.110.150', 'port': 8444}
2022-01-03T13:14:28.624 full_node full_node_server        : INFO     Connection closed: 206.189.110.150, node id: 48f3efbb4ebf4676dcb4635e3e7497371901c808c07fb9bb9e8b6ef5d6c792e0
2022-01-03T13:14:28.627 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '206.189.110.150', 'port': 8444}
2022-01-03T13:14:30.834 full_node full_node_server        : INFO     Connected with full_node {'host': '31.202.16.178', 'port': 8444}
2022-01-03T13:14:30.841 full_node full_node_server        : INFO     Connection closed: 31.202.16.178, node id: 71d65ba8b5a3ae20511ff9925d5efe044f12554a8bd2080d0e9149d43b83e9bf
2022-01-03T13:14:30.844 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '31.202.16.178', 'port': 8444}
2022-01-03T13:14:32.730 full_node full_node_server        : INFO     Connected with full_node {'host': '70.181.203.2', 'port': 8444}
2022-01-03T13:14:32.739 full_node full_node_server        : INFO     Connection closed: 70.181.203.2, node id: 9c88f59f410551a383aaf7d205f36407a0da00b2357c2540926c0b52bd985fa9
