# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-02 00:40:15,186.12,180.20,5.92,0.00,17316.13,262.00,0.00
plotter1,60,2022-01-02 00:41:15,192.97,188.45,4.52,0.00,19284.10,113.20,0.00
plotter1,60,2022-01-02 00:42:15,195.65,191.48,4.17,0.00,19450.12,83.60,0.00
plotter1,60,2022-01-02 00:43:15,203.70,199.18,4.52,0.00,20299.73,81.73,0.00
plotter1,60,2022-01-02 00:44:15,162.57,158.37,4.20,0.00,16574.13,76.93,0.00
plotter1,60,2022-01-02 00:45:15,181.73,175.22,6.52,0.00,16715.68,269.07,0.00
plotter1,60,2022-01-02 00:46:15,178.82,173.25,5.57,0.00,18327.08,118.67,0.00
plotter1,60,2022-01-02 00:47:15,182.78,177.12,5.67,0.00,18100.67,97.07,0.00
plotter1,60,2022-01-02 00:48:15,180.80,175.50,5.30,0.00,17938.53,92.53,0.00
plotter1,60,2022-01-02 00:49:15,190.97,185.25,5.72,0.00,18964.13,98.80,0.00
plotter1,60,2022-01-02 00:50:15,217.32,209.83,7.48,0.00,20010.45,301.07,0.00
plotter1,60,2022-01-02 00:51:15,154.18,150.63,3.55,0.00,15800.98,76.53,0.00
plotter1,60,2022-01-02 00:52:15,189.77,186.83,2.93,0.00,19068.02,49.87,0.00
plotter1,60,2022-01-02 00:53:15,170.92,167.83,3.08,0.00,17288.80,124.00,0.00
plotter1,60,2022-01-02 00:54:15,171.55,166.13,5.42,0.00,16888.27,301.07,0.00
plotter1,60,2022-01-02 00:55:15,205.92,200.13,5.78,0.00,19335.08,261.20,0.00
plotter1,60,2022-01-02 00:56:15,157.45,153.42,4.03,0.00,15605.02,88.27,0.00
plotter1,60,2022-01-02 00:57:15,170.73,167.20,3.53,0.00,17314.27,62.67,0.00
plotter1,60,2022-01-02 00:58:15,148.35,144.70,3.65,0.00,14944.27,64.27,0.00
plotter1,60,2022-01-02 00:59:15,169.25,165.88,3.37,0.00,16698.93,62.27,0.00
plotter1,60,2022-01-02 01:00:15,189.88,183.85,6.03,0.00,17391.90,273.60,0.00
plotter1,60,2022-01-02 01:01:15,226.43,221.67,4.77,0.00,23271.00,111.20,0.00
plotter1,60,2022-01-02 01:02:15,172.83,168.82,4.02,0.00,17137.27,78.00,0.00
plotter1,60,2022-01-02 01:03:15,174.67,170.80,3.87,0.00,17794.00,75.07,0.00
plotter1,60,2022-01-02 01:04:15,191.67,184.82,6.85,0.00,19163.07,114.27,0.00
# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-01-02 00:24:15,85723720,86741452,2078632,1.58,168072,42153520,46330852,17.63,1083700,42881164,228
plotter1,60,2022-01-02 00:25:15,84360504,85970992,2778560,2.11,169544,42814456,53129088,20.21,1365340,43896964,208
plotter1,60,2022-01-02 00:26:15,83702896,85854920,2801272,2.13,179948,43438748,53179024,20.23,1733176,44190692,340
plotter1,60,2022-01-02 00:27:15,82937168,85760788,2839448,2.16,182600,44163536,53235464,20.25,1980292,44721012,136
plotter1,60,2022-01-02 00:28:15,82239996,85593504,2918288,2.22,183572,44780500,53352312,20.30,2318804,45068552,28
plotter1,60,2022-01-02 00:29:15,81545716,85435468,3007332,2.28,184868,45384520,53450324,20.34,2674632,45432664,144
plotter1,60,2022-01-02 00:30:15,79123444,83586748,4806644,3.65,186868,46005308,54438776,20.71,2932496,47594628,88
plotter1,60,2022-01-02 00:31:15,78794444,83837540,4513464,3.43,187728,46626748,53768912,20.46,3131188,47739876,32
plotter1,60,2022-01-02 00:32:15,78086396,83735164,4569456,3.47,188104,47278188,53829540,20.48,3338228,48219744,72
plotter1,60,2022-01-02 00:33:15,77454460,83654220,4611564,3.50,188400,47867836,53923236,20.52,3500612,48710732,64
plotter1,60,2022-01-02 00:34:15,76799972,83540500,4698548,3.57,188744,48434864,53999284,20.54,3605664,49229992,8
plotter1,60,2022-01-02 00:35:15,76144380,83464916,4749140,3.61,190108,49038636,54065056,20.57,3694628,49790608,56
plotter1,60,2022-01-02 00:36:15,75479176,83386356,4802876,3.65,194252,49645728,54151952,20.60,3775752,50384956,60
plotter1,60,2022-01-02 00:37:15,74838048,83347784,4819860,3.66,197904,50266128,54166504,20.61,3849416,50940196,140
plotter1,60,2022-01-02 00:38:15,74166396,83223332,4916212,3.73,202020,50837392,54272236,20.65,3981652,51469356,4
plotter1,60,2022-01-02 00:39:15,73516008,83151124,4964112,3.77,202760,51439416,54330556,20.67,4106324,51986416,4
plotter1,60,2022-01-02 00:40:15,72967012,83121196,4980332,3.78,203008,51972040,54375892,20.69,4161948,52496004,180
plotter1,60,2022-01-02 00:41:15,72299240,83033680,5046496,3.83,203312,52573496,54468336,20.72,4212880,53121720,144
plotter1,60,2022-01-02 00:42:15,71693996,83011948,5048004,3.83,203644,53176584,54496312,20.73,4281964,53678592,104
plotter1,60,2022-01-02 00:43:15,71019816,82945736,5095192,3.87,203872,53803360,54563004,20.76,4343716,54299304,76
plotter1,60,2022-01-02 00:44:15,70462036,82886364,5133616,3.90,204116,54322484,54619984,20.78,4406520,54796884,84
plotter1,60,2022-01-02 00:45:15,69847104,82770528,5229964,3.97,204332,54841132,54680700,20.80,4475564,55288440,4
plotter1,60,2022-01-02 00:46:15,69243752,82719148,5261116,3.99,204580,55413060,54735436,20.82,4519244,55864832,32
plotter1,60,2022-01-02 00:47:15,68642216,82661008,5298824,4.02,204904,55976576,54782292,20.84,4563368,56416452,184
plotter1,60,2022-01-02 00:48:15,68083256,82637848,5300740,4.02,205136,56533164,54840284,20.86,4612372,56967624,108
plotter1,60,2022-01-02 00:49:15,67428856,82554628,5365308,4.07,205360,57122536,54893408,20.89,4645708,57563688,104
plotter1,60,2022-01-02 00:50:15,66755104,82483192,5416048,4.11,205648,57745588,54960432,20.91,4695388,58187064,48
plotter1,60,2022-01-02 00:51:15,66225060,82427272,5452244,4.14,205904,58239244,55011844,20.93,4741372,58674988,76
plotter1,60,2022-01-02 00:52:15,65509648,82283956,5573696,4.23,206188,58832704,55145084,20.98,4801456,59323316,40
plotter1,60,2022-01-02 00:53:15,64943092,82240476,5595836,4.25,206424,59376532,55194512,21.00,4844684,59861560,6540
plotter1,60,2022-01-02 00:54:15,64377340,82179888,5636780,4.28,206596,59901364,55232408,21.01,4886564,60369752,88
plotter1,60,2022-01-02 00:55:15,63732164,82114988,5683164,4.32,207256,60499996,55282360,21.03,4935280,60950616,64
plotter1,60,2022-01-02 00:56:15,63233604,82085928,5690828,4.32,207464,60990780,55326112,21.05,4963436,61445252,76
plotter1,60,2022-01-02 00:57:15,62668672,82040536,5715804,4.34,207708,61530508,55371300,21.07,5008640,61967160,144
plotter1,60,2022-01-02 00:58:15,62143452,81964784,5769780,4.38,207904,62001332,55425704,21.09,5044732,62441364,8
plotter1,60,2022-01-02 00:59:15,61607384,81927660,5785684,4.39,208124,62521944,55475888,21.11,5100132,62940020,92
plotter1,60,2022-01-02 01:00:15,61015416,81858324,5838016,4.43,208376,63061404,55527020,21.13,5140528,63476972,92
plotter1,60,2022-01-02 01:01:15,60217576,81760780,5911184,4.49,208660,63785976,55626216,21.16,5266528,64153380,28
plotter1,60,2022-01-02 01:02:15,59682460,81738332,5911812,4.49,208928,64319896,55625164,21.16,5361776,64580036,0
plotter1,60,2022-01-02 01:03:15,59103616,81693020,5938944,4.51,209176,64871428,55661152,21.18,5431676,65083528,12
plotter1,60,2022-01-02 01:04:15,60781872,83946944,3664228,2.78,209384,65465012,49039096,18.66,5487272,63383768,80
# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
plotter1,60,2022-01-02 00:24:15,130683128,454400,0.35,15940,3.51
