# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2022-01-02 00:47:15,enp6s0,701.18,1081.70,311.80,1408.27,0.00,0.00,0.42,0.46
plotter1,60,2022-01-02 00:48:15,lo,0.97,0.97,1.60,1.60,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:48:15,enp6s0,632.68,1074.37,253.52,1415.10,0.00,0.00,0.42,0.46
plotter1,60,2022-01-02 00:49:15,lo,1.18,1.18,2.14,2.14,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:49:15,enp6s0,720.60,1131.25,330.59,1482.45,0.00,0.00,0.42,0.49
plotter1,60,2022-01-02 00:50:15,lo,6.37,6.37,88.99,88.99,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:50:15,enp6s0,787.07,1246.02,364.84,1657.32,0.00,0.00,0.40,0.54
plotter1,60,2022-01-02 00:51:15,lo,56.98,56.98,30.81,30.81,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:51:15,enp6s0,634.02,984.90,273.61,1284.85,0.00,0.00,0.42,0.42
plotter1,60,2022-01-02 00:52:15,lo,22.97,22.97,11.04,11.04,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:52:15,enp6s0,694.48,1130.30,302.48,1509.13,0.00,0.00,0.42,0.49
plotter1,60,2022-01-02 00:53:15,lo,0.93,0.93,1.38,1.38,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:53:15,enp6s0,732.27,1064.30,376.97,1407.04,0.00,0.00,0.40,0.46
plotter1,60,2022-01-02 00:54:15,lo,0.90,0.90,1.50,1.50,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:54:15,enp6s0,642.58,1010.27,279.98,1340.51,0.00,0.00,0.43,0.44
plotter1,60,2022-01-02 00:55:15,lo,12.45,12.45,196.92,196.92,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:55:15,enp6s0,716.45,1296.32,275.11,1720.55,0.00,0.00,0.40,0.56
plotter1,60,2022-01-02 00:56:15,lo,1.00,1.00,1.50,1.50,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:56:15,enp6s0,579.05,927.83,229.07,1224.27,0.00,0.00,0.40,0.40
plotter1,60,2022-01-02 00:57:15,lo,1.10,1.10,1.54,1.54,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:57:15,enp6s0,669.43,1047.27,291.32,1398.85,0.00,0.00,0.43,0.46
plotter1,60,2022-01-02 00:58:15,lo,1.23,1.23,2.11,2.11,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:58:15,enp6s0,577.00,891.35,269.60,1170.27,0.00,0.00,0.40,0.38
plotter1,60,2022-01-02 00:59:15,lo,1.03,1.03,1.60,1.60,0.00,0.00,0.00,0.00
