HOSTNAME,SCENARIO,TESTCASE,START_RUN,LOG_INITIATE_SYNC,LOG_START_SYNC,LOG_DUST_START_SYNC,LOG_DUST_STOP_SYNC,SQLITE_DB_SIZE_BYTES,DESCRIPTION
harvester2,DUSTSTORM2,AUTOTEST1_PR9746,2022-01-09T22:30:31,2022-01-09T22:46:49,2022-01-09T23:17:13,2022-01-09T23:40:39,2022-01-10T04:16:56,37330780160,"No Changes from branch"
harvester2,DUSTSTORM2,AUTOTEST5_PR9746,2022-01-10T04:17:29,2022-01-10T04:33:03,2022-01-10T04:38:54,2022-01-10T04:55:34,2022-01-10T08:12:32,30209241088,"Only full blocks height + peak index; max blockchain consensus threads, PR9746"
harvester2,DUSTSTORM2,AUTOTEST45_PR9746,2022-01-10T08:13:07,2022-01-10T08:29:03,2022-01-10T08:35:22,2022-01-10T08:54:10,2022-01-10T11:50:27,30208864256,"Only full blocks height + peak index; locking_mode=exclusive, synchronous=OFF, journal_mode=off, increase coin_records lru cache * 100, cache_spill=false, uncommited=true, max blockchain consensus threads, PR9746"
