HOSTNAME,SCENARIO,TESTCASE,START_RUN,LOG_INITIATE_SYNC,LOG_START_SYNC,LOG_DUST_START_SYNC,LOG_DUST_STOP_SYNC,SQLITE_DB_SIZE_BYTES,DESCRIPTION
harvester2,DUSTSTORM1,AUTOTEST45_PR9746,2022-01-18T23:07:16,2022-01-18T23:20:22,2022-01-18T23:27:03,2022-01-18T23:30:51,2022-01-19T02:25:33,22423052288,"Only full blocks height + peak index; locking_mode=exclusive, synchronous=OFF, journal_mode=off, increase coin_records lru cache * 100, cache_spill=false, uncommited=true, max blockchain consensus threads, PR9746"
harvester2,DUSTSTORM1,AUTOTEST5_PR9746,2022-01-19T02:26:08,2022-01-19T02:40:33,2022-01-19T02:47:33,2022-01-19T02:51:35,2022-01-19T06:32:26,22422691840,"Only full blocks height + peak index; max blockchain consensus threads, PR9746"
harvester2,DUSTSTORM1,AUTOTEST1_PR9746,2022-01-19T06:32:55,2022-01-19T06:47:26,2022-01-19T07:10:15,2022-01-19T07:15:26,2022-01-19T12:38:24,27728957440,"No Changes from branch"
