# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2021-12-30 17:39:27,enp6s0,663.13,1200.90,276.55,1597.83,0.00,0.00,0.42,0.52
plotter1,60,2021-12-30 17:40:27,lo,0.90,0.90,1.49,1.49,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:40:27,enp6s0,598.02,1084.63,252.22,1441.54,0.00,0.00,0.42,0.47
plotter1,60,2021-12-30 17:41:27,lo,0.67,0.67,0.95,0.95,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:41:27,enp6s0,595.67,1060.92,260.28,1395.31,0.00,0.00,0.40,0.46
plotter1,60,2021-12-30 17:42:27,lo,0.40,0.40,0.54,0.54,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:42:27,enp6s0,590.57,1025.15,267.21,1353.31,0.00,0.00,0.42,0.44
plotter1,60,2021-12-30 17:43:27,lo,0.40,0.40,0.51,0.51,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:43:27,enp6s0,613.85,1083.10,275.72,1435.66,0.00,0.00,0.42,0.47
plotter1,60,2021-12-30 17:44:27,lo,0.57,0.57,0.87,0.87,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:44:27,enp6s0,610.55,1040.12,295.64,1371.93,0.00,0.00,0.42,0.45
plotter1,60,2021-12-30 17:45:27,lo,0.80,0.80,1.37,1.37,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:45:27,enp6s0,557.28,1070.87,198.51,1426.98,0.00,0.00,0.42,0.47
plotter1,60,2021-12-30 17:46:27,lo,0.67,0.67,1.14,1.14,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:46:27,enp6s0,669.58,1122.78,358.31,1455.81,0.00,0.00,0.42,0.48
plotter1,60,2021-12-30 17:47:27,lo,0.37,0.37,0.55,0.55,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:47:27,enp6s0,560.75,1035.83,225.78,1370.09,0.00,0.00,0.42,0.45
plotter1,60,2021-12-30 17:48:27,lo,0.47,0.47,0.72,0.72,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:48:27,enp6s0,580.62,1048.50,232.55,1391.62,0.00,0.00,0.42,0.46
plotter1,60,2021-12-30 17:49:27,lo,1.10,1.10,1.84,1.84,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:49:27,enp6s0,579.40,955.13,276.62,1254.82,0.00,0.00,0.42,0.41
plotter1,60,2021-12-30 17:50:27,lo,0.50,0.50,0.84,0.84,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:50:27,enp6s0,573.35,1000.03,246.34,1320.15,0.00,0.00,0.40,0.43
plotter1,60,2021-12-30 17:51:27,lo,0.67,0.67,1.07,1.07,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:51:27,enp6s0,611.70,1087.02,264.37,1438.70,0.00,0.00,0.42,0.47
plotter1,60,2021-12-30 17:52:27,lo,0.50,0.50,0.95,0.95,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:52:27,enp6s0,683.92,1104.12,343.88,1446.04,0.00,0.00,0.40,0.47
plotter1,60,2021-12-30 17:53:27,lo,0.77,0.77,1.40,1.40,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:53:27,enp6s0,663.30,990.42,388.17,1289.76,0.00,0.00,0.40,0.42
plotter1,60,2021-12-30 17:54:27,lo,0.47,0.47,0.76,0.76,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:54:27,enp6s0,570.02,1107.45,158.78,1488.26,0.00,0.00,0.42,0.49
plotter1,60,2021-12-30 17:55:27,lo,0.97,0.97,1.21,1.21,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:55:27,enp6s0,723.85,1233.73,347.90,1616.67,0.00,0.00,0.42,0.53
plotter1,60,2021-12-30 17:56:27,lo,2.03,2.03,2.45,2.45,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:56:27,enp6s0,677.23,1125.32,341.67,1455.02,0.00,0.00,0.42,0.48
