2022-01-08T00:08:39.403 daemon chia.daemon.server         : INFO     Starting Daemon Server
2022-01-08T00:08:39.407 daemon chia.daemon.server         : INFO     Waiting Daemon WebSocketServer closure
2022-01-08T00:08:45.986 full_node chia.full_node.full_node: INFO     Initializing blockchain from disk
2022-01-08T00:08:45.992 full_node chia.consensus.blockchain: INFO     Started 4 processes for block validation
2022-01-08T00:11:31.169 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '72.43.163.204', 'port': 8444}
2022-01-08T00:11:33.780 full_node full_node_server        : INFO     Connected with full_node {'host': '223.18.254.91', 'port': 8444}
2022-01-08T00:11:33.788 full_node full_node_server        : INFO     Connection closed: 223.18.254.91, node id: 963002d982b1d7b04213f0d6bc8e2f01cde892161d0623d910dacfd3b6c66e26
2022-01-08T00:11:33.789 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '223.18.254.91', 'port': 8444}
2022-01-08T00:11:37.338 full_node full_node_server        : INFO     Cannot connect to host 122.231.190.231:8444 ssl:<ssl.SSLContext object at 0xffffb69cbbc0> [Connect call failed ('122.231.190.231', 8444)]
2022-01-08T00:11:37.853 full_node full_node_server        : INFO     Connected with full_node {'host': '49.176.164.121', 'port': 8444}
2022-01-08T00:11:38.106 full_node full_node_server        : INFO     Connected with full_node {'host': '157.193.140.25', 'port': 8444}
2022-01-08T00:11:38.115 full_node full_node_server        : INFO     Connection closed: 157.193.140.25, node id: e2771317a295412644d7c05cc59874b0ab53224081cba9ee050bdddff4f135cf
2022-01-08T00:11:38.116 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '157.193.140.25', 'port': 8444}
2022-01-08T00:11:40.359 full_node full_node_server        : INFO     Connected with full_node {'host': '119.202.42.199', 'port': 8444}
2022-01-08T00:11:40.365 full_node full_node_server        : INFO     Connection closed: 119.202.42.199, node id: 111d491a81960fe9b3ed815f8ea3c1959a68b2a59cd6ec0fb9697bbd2a117824
2022-01-08T00:11:40.367 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '119.202.42.199', 'port': 8444}
2022-01-08T00:11:40.863 full_node full_node_server        : INFO     Connected with full_node {'host': '87.92.114.248', 'port': 8444}
2022-01-08T00:11:40.871 full_node full_node_server        : INFO     Connection closed: 87.92.114.248, node id: 28e0923505adf3eb20584b0b2124f9df8ef923ee4063ea5c4aa6b4d23365baa7
2022-01-08T00:11:40.873 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '87.92.114.248', 'port': 8444}
2022-01-08T00:11:42.059 full_node full_node_server        : INFO     Cannot connect to host 46.242.11.24:8444 ssl:<ssl.SSLContext object at 0xffffb69cbec0> [Connect call failed ('46.242.11.24', 8444)]
2022-01-08T00:11:44.619 full_node full_node_server        : INFO     Connected with full_node {'host': '74.132.132.141', 'port': 8444}
2022-01-08T00:11:44.633 full_node full_node_server        : INFO     Connection closed: 74.132.132.141, node id: 8fa7994b24e419840c5fa875a19ed4f1c1eb53721859ba87e6973b258cbe2b4c
2022-01-08T00:11:44.634 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '74.132.132.141', 'port': 8444}
2022-01-08T00:11:45.354 full_node full_node_server        : INFO     Connected with full_node {'host': '86.101.112.20', 'port': 8444}
2022-01-08T00:11:45.363 full_node full_node_server        : INFO     Connection closed: 86.101.112.20, node id: 08316f661d8d9fe8724b6b4affaa1a3c4c7387cd39b7801a1df2a4ca2655ec9d
2022-01-08T00:11:45.365 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '86.101.112.20', 'port': 8444}
2022-01-08T00:11:47.736 full_node full_node_server        : INFO     Connected with full_node {'host': '173.14.8.45', 'port': 8444}
2022-01-08T00:11:47.743 full_node full_node_server        : INFO     Connection closed: 173.14.8.45, node id: 014c6d515a15f31508fef67f990fd4bbc97d5691ed1ce95c89e95c04cb00c9cb
2022-01-08T00:11:47.744 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '173.14.8.45', 'port': 8444}
2022-01-08T00:11:49.265 full_node full_node_server        : INFO     Connected with full_node {'host': '59.126.19.58', 'port': 8444}
2022-01-08T00:11:49.273 full_node full_node_server        : INFO     Connection closed: 59.126.19.58, node id: 3bbaea5d00964b098fecd8676f7b76ac599959b05a51167ab68dde75518cf8c5
2022-01-08T00:11:49.275 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '59.126.19.58', 'port': 8444}
2022-01-08T00:11:51.808 full_node full_node_server        : INFO     Connected with full_node {'host': '5.2.211.182', 'port': 8444}
2022-01-08T00:11:51.814 full_node full_node_server        : INFO     Connection closed: 5.2.211.182, node id: d4c2d6a6a5707a3ef564ec2c507c4a55b86c298230547ae4ab3fc20b17f724c7
2022-01-08T00:11:51.815 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '5.2.211.182', 'port': 8444}
2022-01-08T00:11:53.138 full_node full_node_server        : INFO     Connected with full_node {'host': '128.69.179.190', 'port': 8444}
2022-01-08T00:11:53.147 full_node full_node_server        : INFO     Connection closed: 128.69.179.190, node id: ea882b04726b1fd8605c4577cdbb4a0e0fc2594f281a70f0d058b8560d316cbf
2022-01-08T00:11:53.148 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '128.69.179.190', 'port': 8444}
2022-01-08T00:11:54.340 full_node chia.full_node.full_node: INFO     Collected a total of 2 peaks.
2022-01-08T00:11:54.341 full_node chia.full_node.full_node: INFO     Selected peak 1390632, e735965ab7014dad29d5e55403d82748d650eb415c761e00ef307ce81034f7a2
2022-01-08T00:11:54.415 full_node full_node_server        : INFO     Cannot connect to host 168.0.210.41:8444 ssl:<ssl.SSLContext object at 0xffffa80e14c0> [Connect call failed ('168.0.210.41', 8444)]
2022-01-08T00:11:55.069 full_node chia.full_node.full_node: INFO     Total of 2 peers with peak 1390632
2022-01-08T00:11:55.070 full_node chia.full_node.full_node: INFO     Requesting weight proof from peer 49.176.164.121 up to height 1390632
2022-01-08T00:11:57.144 full_node full_node_server        : INFO     Connected with full_node {'host': '217.178.104.41', 'port': 8444}
2022-01-08T00:11:57.151 full_node full_node_server        : INFO     Connection closed: 217.178.104.41, node id: 721fa5c42571527e95a8e7e4e5704de69660ea6c7a38770cfc26e17b7e4f5430
2022-01-08T00:11:57.153 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '217.178.104.41', 'port': 8444}
2022-01-08T00:11:58.220 full_node full_node_server        : INFO     Connected with full_node {'host': '73.83.156.47', 'port': 8444}
2022-01-08T00:11:58.358 full_node full_node_server        : INFO     Connection closed: 73.83.156.47, node id: c0523a2c5e4d62e30f5ed7d78e5c194694d98c3f3f2498cebfe81c6f44c6030c
2022-01-08T00:11:58.359 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '73.83.156.47', 'port': 8444}
2022-01-08T00:12:01.474 full_node full_node_server        : INFO     Connected with full_node {'host': '176.193.242.216', 'port': 8444}
2022-01-08T00:12:01.480 full_node full_node_server        : INFO     Connection closed: 176.193.242.216, node id: 97ada31e01ab5c512d95334f464a48ca459b11d292c777efca0f43f1faf21966
2022-01-08T00:12:01.482 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '176.193.242.216', 'port': 8444}
2022-01-08T00:12:04.755 full_node full_node_server        : INFO     Connected with full_node {'host': '109.197.162.240', 'port': 8444}
2022-01-08T00:12:04.762 full_node full_node_server        : INFO     Connection closed: 109.197.162.240, node id: 6fb879f5552688e2eae3b077f3c5ee5f96f9de65faf7332b11f55c23cebbf061
2022-01-08T00:12:04.764 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '109.197.162.240', 'port': 8444}
2022-01-08T00:12:07.538 full_node full_node_server        : INFO     Connected with full_node {'host': '193.168.242.112', 'port': 8444}
2022-01-08T00:12:07.544 full_node full_node_server        : INFO     Connection closed: 193.168.242.112, node id: 863bf554269a660a5a26892efd9346e68fca0408a1b4a413f912d99d838343d7
2022-01-08T00:12:07.546 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '193.168.242.112', 'port': 8444}
2022-01-08T00:12:12.058 full_node full_node_server        : INFO     Connected with full_node {'host': '213.109.239.214', 'port': 8444}
2022-01-08T00:12:12.171 full_node full_node_server        : INFO     Connection closed: 213.109.239.214, node id: b7f83d5141d91d0d4d3a7d4c51e03cdbe2c34631116c6b3edf927fd9ea931bd6
2022-01-08T00:12:12.172 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '213.109.239.214', 'port': 8444}
2022-01-08T00:12:14.101 full_node full_node_server        : INFO     Cannot connect to host 58.47.50.5:8444 ssl:<ssl.SSLContext object at 0xffffaf131240> [Connect call failed ('58.47.50.5', 8444)]
2022-01-08T00:12:16.532 full_node full_node_server        : INFO     Connected with full_node {'host': '81.198.221.67', 'port': 8444}
2022-01-08T00:12:16.541 full_node full_node_server        : INFO     Connection closed: 81.198.221.67, node id: 6104192db5c32052f2467187e2ba1cfb7adce5926ba340a839504c4fb1feb294
2022-01-08T00:12:16.543 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '81.198.221.67', 'port': 8444}
2022-01-08T00:12:30.155 full_node chia.full_node.weight_proof: INFO     validate weight proof peak height 1390632
2022-01-08T00:12:30.498 full_node chia.full_node.weight_proof: INFO     validating 3621 sub epochs
2022-01-08T00:12:33.021 full_node full_node_server        : INFO     Cannot connect to host 120.219.72.72:8444 ssl:<ssl.SSLContext object at 0xffffaf131dc0> [Connect call failed ('120.219.72.72', 8444)]
2022-01-08T00:12:33.247 full_node full_node_server        : INFO     Connected with full_node {'host': '47.46.84.244', 'port': 8444}
2022-01-08T00:12:33.256 full_node full_node_server        : INFO     Connection closed: 47.46.84.244, node id: b1115b962c104ae74a7604a228270e747500acadc2bbe98badf1e206e8010a16
2022-01-08T00:12:33.258 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '47.46.84.244', 'port': 8444}
2022-01-08T00:12:34.050 full_node full_node_server        : INFO     Connected with full_node {'host': '109.167.69.28', 'port': 8444}
2022-01-08T00:12:34.055 full_node full_node_server        : INFO     Connection closed: 109.167.69.28, node id: c496b09835bc4dd7238136042e446f80312d449038d07222b17ee09f702ada9e
2022-01-08T00:12:34.057 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '109.167.69.28', 'port': 8444}
2022-01-08T00:12:36.942 full_node full_node_server        : INFO     Connected with full_node {'host': '83.148.67.229', 'port': 8444}
2022-01-08T00:12:36.971 full_node full_node_server        : INFO     Connection closed: 83.148.67.229, node id: 4a9489eaa160f65dc7f76249df85ab891ecaeaa187edaa4d1f1ac3ecd7cba738
2022-01-08T00:12:36.973 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '83.148.67.229', 'port': 8444}
2022-01-08T00:12:39.156 full_node full_node_server        : INFO     Connected with full_node {'host': '113.50.67.2', 'port': 8444}
2022-01-08T00:12:39.161 full_node full_node_server        : INFO     Connection closed: 113.50.67.2, node id: 643881545cfc71b4118fe2410af15d07ec44e70aa0904da95ea9a6b3c8694063
2022-01-08T00:12:39.163 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '113.50.67.2', 'port': 8444}
2022-01-08T00:12:42.063 full_node full_node_server        : INFO     Connected with full_node {'host': '107.11.227.182', 'port': 8444}
2022-01-08T00:12:42.191 full_node full_node_server        : INFO     Connection closed: 107.11.227.182, node id: f39ce1284cb9d8388699a44c1dd8c728c6c00af07d7ec3656056925f62771987
2022-01-08T00:12:42.193 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '107.11.227.182', 'port': 8444}
2022-01-08T00:12:43.354 full_node full_node_server        : INFO     Connected with full_node {'host': '195.154.207.67', 'port': 8444}
2022-01-08T00:12:43.428 full_node full_node_server        : INFO     Connection closed: 195.154.207.67, node id: 4f60c2d460b47c60b810deb333e0637a550d8dd79dc17bf4c386d2490ec78227
2022-01-08T00:12:43.430 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '195.154.207.67', 'port': 8444}
2022-01-08T00:12:45.188 full_node full_node_server        : INFO     Cannot connect to host 123.174.248.38:8444 ssl:<ssl.SSLContext object at 0xffffb62a2cc0> [Connect call failed ('123.174.248.38', 8444)]
2022-01-08T00:12:48.681 full_node full_node_server        : INFO     Connected with full_node {'host': '148.75.27.58', 'port': 8444}
2022-01-08T00:12:48.805 full_node full_node_server        : INFO     Connection closed: 148.75.27.58, node id: f892dbcbc45c801b1d300ac7017df3660b85bd44dae3f2db01fb92d93adece75
2022-01-08T00:12:48.807 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '148.75.27.58', 'port': 8444}
2022-01-08T00:12:50.476 full_node full_node_server        : INFO     Connected with full_node {'host': '136.24.34.237', 'port': 8444}
2022-01-08T00:12:50.481 full_node full_node_server        : INFO     Connection closed: 136.24.34.237, node id: 387941e4f330d9be574c17c99d100eab8c76ffd4ad703c58af528153443c2033
2022-01-08T00:12:50.482 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '136.24.34.237', 'port': 8444}
2022-01-08T00:12:53.398 full_node full_node_server        : INFO     Connected with full_node {'host': '137.186.103.15', 'port': 8444}
2022-01-08T00:12:53.403 full_node full_node_server        : INFO     Connection closed: 137.186.103.15, node id: d4b6ba5cced674151934309435be99da99dc9d7be691a60e970df57bf9159e37
2022-01-08T00:12:53.404 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '137.186.103.15', 'port': 8444}
2022-01-08T00:12:57.592 full_node full_node_server        : INFO     Connected with full_node {'host': '108.197.235.139', 'port': 8444}
2022-01-08T00:12:57.601 full_node full_node_server        : INFO     Connection closed: 108.197.235.139, node id: 2254a339642de51b882599df4a56b39c384bf39519f1651123a2e33a47f4bdaa
2022-01-08T00:12:57.603 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '108.197.235.139', 'port': 8444}
2022-01-08T00:12:57.623 full_node full_node_server        : INFO     Cannot connect to host 109.196.114.19:8444 ssl:<ssl.SSLContext object at 0xffffa26a96c0> [Connect call failed ('109.196.114.19', 8444)]
2022-01-08T00:12:58.931 full_node full_node_server        : INFO     Connected with full_node {'host': '93.125.49.134', 'port': 8444}
2022-01-08T00:12:58.936 full_node full_node_server        : INFO     Connection closed: 93.125.49.134, node id: a95fbc11caaed97b585bec0b09d570c654f2c0f6d3d75c2f17ac22c3118f393c
2022-01-08T00:12:58.938 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '93.125.49.134', 'port': 8444}
2022-01-08T00:13:01.052 full_node full_node_server        : INFO     Connected with full_node {'host': '54.190.139.152', 'port': 8444}
2022-01-08T00:13:01.057 full_node full_node_server        : INFO     Connection closed: 54.190.139.152, node id: 4a3490869e26a8dd46cd5991fdc07f0d05328ba4524f616823f5060ba2535d63
2022-01-08T00:13:01.058 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '54.190.139.152', 'port': 8444}
2022-01-08T00:13:01.898 full_node full_node_server        : INFO     Connected with full_node {'host': '178.223.105.238', 'port': 8444}
2022-01-08T00:13:06.312 full_node full_node_server        : INFO     Connected with full_node {'host': '178.130.33.3', 'port': 8444}
2022-01-08T00:13:06.318 full_node full_node_server        : INFO     Connection closed: 178.130.33.3, node id: eb4c06d4023da155fb1b4fd4d100e3fcf6349dc6cc0592ef84f49eac17020d7c
2022-01-08T00:13:06.319 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '178.130.33.3', 'port': 8444}
2022-01-08T00:13:08.466 full_node full_node_server        : INFO     Connected with full_node {'host': '185.119.116.140', 'port': 8444}
2022-01-08T00:13:08.472 full_node full_node_server        : INFO     Connection closed: 185.119.116.140, node id: ff0fd42c61002485b0ffc53bdf4427cefa2f77d946d914fb030a43dc3923d9c2
2022-01-08T00:13:08.473 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '185.119.116.140', 'port': 8444}
