2022-01-10T20:58:45.707 daemon chia.daemon.server         : INFO     Starting Daemon Server
2022-01-10T20:58:45.715 daemon chia.daemon.server         : INFO     Waiting Daemon WebSocketServer closure
2022-01-10T20:58:52.223 full_node chia.full_node.full_node: INFO     Initializing blockchain from disk
2022-01-10T20:58:52.230 full_node chia.consensus.blockchain: INFO     Started 4 processes for block validation
2022-01-10T20:59:43.090 full_node full_node_server        : INFO     Cannot connect to host 106.1.108.195:8444 ssl:<ssl.SSLContext object at 0xffff8e796bc0> [Connect call failed ('106.1.108.195', 8444)]
2022-01-10T20:59:45.870 full_node full_node_server        : INFO     Connected with full_node {'host': '89.156.89.161', 'port': 8444}
2022-01-10T20:59:45.877 full_node full_node_server        : INFO     Connection closed: 89.156.89.161, node id: f8516d1af8f8c1fceafc91ac3bc8f30ef50a622f78defed16776c3b8d76e6a5e
2022-01-10T20:59:45.879 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '89.156.89.161', 'port': 8444}
2022-01-10T20:59:48.871 full_node full_node_server        : INFO     Connected with full_node {'host': '81.183.230.225', 'port': 8444}
2022-01-10T20:59:48.900 full_node chia.full_node.full_node: INFO     Collected a total of 3 peaks.
2022-01-10T20:59:48.902 full_node chia.full_node.full_node: INFO     Selected peak 1404031, 5ddcc89f02ec3badb87f6a99217893811cff0eb15a5d478afe50288f79202229
2022-01-10T20:59:49.862 full_node full_node_server        : INFO     Connected with full_node {'host': '118.32.63.37', 'port': 8444}
2022-01-10T20:59:49.872 full_node full_node_server        : INFO     Connection closed: 118.32.63.37, node id: eb06d30f058eaf1b897a5b3aaea6c0fda96289a04084be9b73a39da7c02e1d2c
2022-01-10T20:59:49.874 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '118.32.63.37', 'port': 8444}
2022-01-10T20:59:51.608 full_node chia.full_node.full_node: INFO     Total of 3 peers with peak 1404031
2022-01-10T20:59:51.609 full_node chia.full_node.full_node: INFO     Requesting weight proof from peer 94.41.17.59 up to height 1404031
2022-01-10T20:59:52.593 full_node full_node_server        : INFO     Connected with full_node {'host': '64.79.116.158', 'port': 8444}
2022-01-10T20:59:52.599 full_node full_node_server        : INFO     Connection closed: 64.79.116.158, node id: 820a4860e9dd74b0193205103aa4e2fab11b162a57e2c09b5417611d757e8a17
2022-01-10T20:59:52.602 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '64.79.116.158', 'port': 8444}
2022-01-10T20:59:54.912 full_node full_node_server        : INFO     Connected with full_node {'host': '68.161.170.23', 'port': 8444}
2022-01-10T20:59:54.927 full_node full_node_server        : INFO     Connection closed: 68.161.170.23, node id: 862e22d10f3413cac7da640be6b8b0051c30828518d2c1c8c0c8dcdda4e268d1
2022-01-10T20:59:54.928 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '68.161.170.23', 'port': 8444}
2022-01-10T20:59:57.917 full_node full_node_server        : INFO     Connected with full_node {'host': '86.57.161.188', 'port': 8444}
2022-01-10T20:59:57.924 full_node full_node_server        : INFO     Connection closed: 86.57.161.188, node id: 7d62dbfac4cea56e554ff3136070848a508ff43b592a74f589a73ae83045502f
2022-01-10T20:59:57.926 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '86.57.161.188', 'port': 8444}
2022-01-10T21:00:02.071 full_node full_node_server        : INFO     Connected with full_node {'host': '86.92.59.250', 'port': 8444}
2022-01-10T21:00:02.081 full_node full_node_server        : INFO     Connection closed: 86.92.59.250, node id: c2adcc999383e51332855e18db44b20d173b43d0c6da21473fe36844289bee4d
2022-01-10T21:00:02.082 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '86.92.59.250', 'port': 8444}
2022-01-10T21:00:13.348 full_node chia.full_node.weight_proof: INFO     validate weight proof peak height 1404031
2022-01-10T21:00:13.686 full_node chia.full_node.weight_proof: INFO     validating 3656 sub epochs
2022-01-10T21:00:19.467 full_node full_node_server        : INFO     Cannot connect to host 23.105.199.149:8444 ssl:<ssl.SSLContext object at 0xffff77b8b340> [Connect call failed ('23.105.199.149', 8444)]
2022-01-10T21:00:21.909 full_node full_node_server        : INFO     Connected with full_node {'host': '94.110.136.42', 'port': 8444}
2022-01-10T21:00:21.915 full_node full_node_server        : INFO     Connection closed: 94.110.136.42, node id: 15e4779537c90f5fcaa5043bc1b9029dda6e708aa54467006ccb228c438c0a21
2022-01-10T21:00:21.916 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '94.110.136.42', 'port': 8444}
2022-01-10T21:00:23.954 full_node full_node_server        : INFO     Cannot connect to host 66.11.248.55:8444 ssl:<ssl.SSLContext object at 0xffff77b8b4c0> [Connect call failed ('66.11.248.55', 8444)]
2022-01-10T21:00:27.453 full_node full_node_server        : INFO     Connected with full_node {'host': '95.188.77.218', 'port': 8444}
2022-01-10T21:00:27.460 full_node full_node_server        : INFO     Connection closed: 95.188.77.218, node id: 0cd7b4320f237a34cbbee3c375f02d599a70fa3240437233fe220bb9ccdc3626
2022-01-10T21:00:27.462 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '95.188.77.218', 'port': 8444}
2022-01-10T21:00:29.002 full_node full_node_server        : INFO     Connected with full_node {'host': '184.161.152.242', 'port': 8444}
2022-01-10T21:00:29.007 full_node full_node_server        : INFO     Connection closed: 184.161.152.242, node id: d27004b7b54fce8c30a69ff19b662dfceab1ac594418d145d8e967c10d516549
