# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-02 18:05:27,194.00,178.63,15.37,0.00,17107.43,408.80,0.00
plotter1,60,2022-01-02 18:06:27,211.50,196.73,14.77,0.00,20312.67,219.47,0.00
plotter1,60,2022-01-02 18:07:27,192.32,177.75,14.57,0.00,18655.20,212.40,0.00
plotter1,60,2022-01-02 18:08:27,180.20,168.33,11.87,0.00,16968.53,192.93,0.00
plotter1,60,2022-01-02 18:09:27,177.37,172.27,5.10,0.00,18102.27,87.73,0.00
plotter1,60,2022-01-02 18:10:27,203.43,195.95,7.48,0.00,18869.30,308.80,0.00
plotter1,60,2022-01-02 18:11:27,183.95,175.68,8.27,0.00,17887.73,148.13,0.00
plotter1,60,2022-01-02 18:12:27,180.87,172.18,8.68,0.00,17355.45,155.33,0.00
plotter1,60,2022-01-02 18:13:27,203.10,196.70,6.40,0.00,20160.93,121.87,0.00
plotter1,60,2022-01-02 18:14:27,173.45,168.08,5.37,0.00,17322.27,105.87,0.00
plotter1,60,2022-01-02 18:15:27,209.97,201.92,8.05,0.00,19676.77,328.13,0.00
plotter1,60,2022-01-02 18:16:27,187.52,177.53,9.98,0.00,18211.87,450.67,0.00
plotter1,60,2022-01-02 18:17:27,198.47,190.87,7.60,0.00,19838.00,132.13,0.00
plotter1,60,2022-01-02 18:18:27,210.92,202.90,8.02,0.00,20970.40,136.67,0.00
plotter1,60,2022-01-02 18:19:27,185.48,176.08,9.40,0.00,18543.73,147.20,0.00
plotter1,60,2022-01-02 18:20:27,219.55,209.63,9.92,0.00,20049.30,344.40,0.00
plotter1,60,2022-01-02 18:21:27,184.03,170.45,13.58,0.00,17215.47,208.93,0.00
plotter1,60,2022-01-02 18:22:27,177.50,163.82,13.68,0.00,16388.65,200.53,0.00
plotter1,60,2022-01-02 18:23:27,164.62,156.95,7.67,0.00,16076.40,134.80,0.00
plotter1,60,2022-01-02 18:24:27,208.57,204.50,4.07,0.00,20820.93,77.60,0.00
plotter1,60,2022-01-02 18:25:27,180.77,173.93,6.83,0.00,16868.90,298.00,0.00
plotter1,60,2022-01-02 18:26:27,169.58,164.77,4.82,0.00,17033.60,95.60,0.00
plotter1,60,2022-01-02 18:27:27,172.18,167.13,5.05,0.00,17135.87,104.00,0.00
plotter1,60,2022-01-02 18:28:27,188.38,183.23,5.15,0.00,18580.40,106.13,0.00
plotter1,60,2022-01-02 18:29:27,197.22,191.63,5.58,0.00,19692.93,110.27,0.00
# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-01-02 17:49:27,85701388,86658964,2154084,1.64,164400,42100620,46651424,17.75,1142468,42832232,392
plotter1,60,2022-01-02 17:50:27,84611168,86162996,2613456,1.98,166412,42728672,53469396,20.34,1284064,43776464,176
plotter1,60,2022-01-02 17:51:27,83711788,85810876,2850292,2.16,168676,43388356,53544072,20.37,1727172,44176980,4
plotter1,60,2022-01-02 17:52:27,82884292,85593588,2963392,2.25,173624,44097840,53734988,20.44,2161240,44618800,136
plotter1,60,2022-01-02 17:53:27,81654352,84948832,3514236,2.67,175528,44774760,53863836,20.49,2577164,45404796,136
plotter1,60,2022-01-02 17:54:27,79941220,83866084,4537076,3.45,176384,45464304,53949124,20.53,2886896,46832528,84
plotter1,60,2022-01-02 17:55:27,79295856,83792712,4566248,3.47,179432,46077656,53968420,20.53,3097432,47246712,184
plotter1,60,2022-01-02 17:56:27,78603236,83668420,4650908,3.53,187552,46677304,54077488,20.57,3275780,47757368,100
plotter1,60,2022-01-02 17:57:27,77925340,83536348,4731760,3.59,192160,47269820,54185392,20.62,3505956,48214352,96
plotter1,60,2022-01-02 17:58:27,77260120,83443644,4797180,3.64,193512,47868632,54263088,20.65,3624384,48758032,156
plotter1,60,2022-01-02 17:59:27,76621508,83366772,4848896,3.68,193756,48455244,54332836,20.67,3719836,49300888,212
plotter1,60,2022-01-02 18:00:27,75877560,83283856,4906876,3.73,194052,49141092,54385448,20.69,3808032,49935204,96
plotter1,60,2022-01-02 18:01:27,75317988,83237860,4930248,3.74,194308,49676944,54446888,20.72,3876840,50447448,104
plotter1,60,2022-01-02 18:02:27,74629056,83085644,5058412,3.84,194548,50237348,54586984,20.77,3967860,51044040,92
plotter1,60,2022-01-02 18:03:27,73946580,83029564,5082668,3.86,194840,50895216,54618256,20.78,4119560,51562604,152
plotter1,60,2022-01-02 18:04:27,73344176,82981672,5109244,3.88,195048,51470464,54674576,20.80,4193244,52105684,144
plotter1,60,2022-01-02 18:05:27,72742636,82893192,5177400,3.93,195292,52003780,54735124,20.82,4242072,52638860,140
plotter1,60,2022-01-02 18:06:27,71622160,82382272,5667320,4.30,195536,52634116,55492008,21.11,4314036,53701632,136
plotter1,60,2022-01-02 18:07:27,71432340,82752372,5277624,4.01,195768,53213172,54871324,20.88,4378700,53822908,4
plotter1,60,2022-01-02 18:08:27,70861484,82692956,5317224,4.04,196076,53744408,54925488,20.90,4437184,54338500,160
plotter1,60,2022-01-02 18:09:27,70120772,82494088,5496552,4.17,196328,54305472,55241628,21.02,4506808,55012888,152
plotter1,60,2022-01-02 18:10:27,69618648,82558888,5409788,4.11,196584,54894636,55041468,20.94,4553328,55464316,4
plotter1,60,2022-01-02 18:11:27,68968048,82444696,5503384,4.18,197096,55450552,55160576,20.99,4605648,56064368,0
plotter1,60,2022-01-02 18:12:27,68433032,82430880,5497240,4.17,197328,55991480,55154856,20.98,4640004,56560812,4
plotter1,60,2022-01-02 18:13:27,67735508,82339424,5569564,4.23,197592,56616252,55217684,21.01,4675064,57214192,4
plotter1,60,2022-01-02 18:14:27,67179032,82302804,5585332,4.24,197888,57156816,55274888,21.03,4722360,57751900,256
plotter1,60,2022-01-02 18:15:27,66532136,82246028,5636148,4.28,198164,57752820,55331896,21.05,4747772,58371764,184
plotter1,60,2022-01-02 18:16:27,65989728,82254464,5620928,4.27,198404,58310080,55312036,21.04,4775760,58885440,4
plotter1,60,2022-01-02 18:17:27,65210728,82071788,5782128,4.39,198624,58927688,55437688,21.09,4842152,59544044,280
plotter1,60,2022-01-02 18:18:27,64533920,82024316,5811524,4.41,198940,59574644,55521584,21.12,4880800,60218596,132
plotter1,60,2022-01-02 18:19:27,63946056,81993008,5827124,4.42,199212,60146308,55519952,21.12,4919852,60761040,12
plotter1,60,2022-01-02 18:20:27,63314628,81962888,5838408,4.43,199448,60766800,55563844,21.14,4975140,61346472,336
plotter1,60,2022-01-02 18:21:27,62776984,81941932,5842560,4.44,199736,61300096,55601864,21.15,5001052,61879352,136
plotter1,60,2022-01-02 18:22:27,62222116,81878728,5892968,4.47,199988,61804332,55672444,21.18,5025292,62412680,140
plotter1,60,2022-01-02 18:23:27,61683132,81824228,5925892,4.50,200304,62310000,55723528,21.20,5069404,62909580,8
plotter1,60,2022-01-02 18:24:27,61015972,81781904,5949252,4.52,200572,62953516,55729768,21.20,5103220,63518220,188
plotter1,60,2022-01-02 18:25:27,60418548,81690436,6020596,4.57,200844,63479152,55807400,21.23,5158400,64049236,76
plotter1,60,2022-01-02 18:26:27,59906572,81689592,6001808,4.56,201120,64009476,55824100,21.24,5202008,64540992,136
plotter1,60,2022-01-02 18:27:27,59294188,81591700,6077224,4.61,201352,64546296,55885952,21.26,5311700,65012824,120
plotter1,60,2022-01-02 18:28:27,58669776,81529120,6111404,4.64,201640,65133148,55944084,21.28,5431848,65521576,116
plotter1,60,2022-01-02 18:29:27,58013660,81469492,6148420,4.67,201904,65746464,56002768,21.31,5515076,66098700,248
# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
plotter1,60,2022-01-02 17:49:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:50:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:51:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:52:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:53:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:54:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:55:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:56:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:57:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:58:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:59:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:00:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:01:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:02:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:03:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:04:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:05:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:06:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:07:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:08:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:09:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:10:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:11:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:12:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:13:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:14:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:15:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:16:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:17:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:18:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:19:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:20:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:21:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:22:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:23:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:24:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:25:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:26:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:27:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:28:27,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 18:29:27,130684920,452608,0.35,15244,3.37
# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2022-01-02 17:49:27,1,923,4.41,4.80,5.29,8
plotter1,60,2022-01-02 17:50:27,0,932,7.79,5.68,5.56,0
plotter1,60,2022-01-02 17:51:27,1,931,8.56,6.25,5.76,0
plotter1,60,2022-01-02 17:52:27,2,934,6.83,6.12,5.75,6
