# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2022-01-05 00:26:24,lo,6.52,6.52,3.13,3.13,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:26:24,enp6s0,583.28,1180.12,112.85,1603.86,0.00,0.00,0.40,0.53
plotter1,60,2022-01-05 00:27:24,lo,10.50,10.50,6.12,6.12,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:27:24,enp6s0,716.97,1074.17,391.20,1347.76,0.00,0.00,0.42,0.44
plotter1,60,2022-01-05 00:28:24,lo,4.38,4.38,4.39,4.39,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:28:24,enp6s0,681.37,1151.43,280.63,1452.49,0.00,0.00,0.42,0.48
plotter1,60,2022-01-05 00:29:24,lo,1.40,1.40,1.88,1.88,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:29:24,enp6s0,769.53,1272.72,351.25,1634.51,0.00,0.00,0.42,0.54
plotter1,60,2022-01-05 00:30:24,lo,1.53,1.53,2.37,2.37,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:30:24,enp6s0,639.45,1072.02,285.53,1381.04,0.00,0.00,0.42,0.45
plotter1,60,2022-01-05 00:31:24,lo,1.43,1.43,2.10,2.10,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:31:24,enp6s0,771.15,1199.80,383.31,1551.60,0.00,0.00,0.42,0.51
plotter1,60,2022-01-05 00:32:24,lo,0.83,0.83,1.08,1.08,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:32:24,enp6s0,695.22,1036.33,335.66,1340.94,0.00,0.00,0.40,0.44
plotter1,60,2022-01-05 00:33:24,lo,1.10,1.10,1.74,1.74,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:33:24,enp6s0,632.48,986.88,295.86,1256.57,0.00,0.00,0.42,0.41
plotter1,60,2022-01-05 00:34:24,lo,1.50,1.50,2.38,2.38,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:34:24,enp6s0,712.32,1057.63,366.61,1364.36,0.00,0.00,0.40,0.45
plotter1,60,2022-01-05 00:35:24,lo,6.60,6.60,5.32,5.32,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:35:24,enp6s0,760.53,1177.52,378.55,1526.00,0.00,0.00,0.42,0.50
plotter1,60,2022-01-05 00:36:24,lo,2.50,2.50,3.53,3.53,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:36:24,enp6s0,647.27,1061.05,277.72,1364.14,0.00,0.00,0.40,0.45
plotter1,60,2022-01-05 00:37:24,lo,1.13,1.13,2.26,2.26,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:37:24,enp6s0,725.70,1149.72,348.97,1446.18,0.00,0.00,0.42,0.47
plotter1,60,2022-01-05 00:38:24,lo,1.23,1.23,2.59,2.59,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:38:24,enp6s0,684.08,1035.88,366.18,1290.23,0.00,0.00,0.42,0.42
plotter1,60,2022-01-05 00:39:24,lo,1.00,1.00,1.67,1.67,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:39:24,enp6s0,736.53,1020.75,444.76,1268.18,0.00,0.00,0.42,0.42
plotter1,60,2022-01-05 00:40:24,lo,8.43,8.43,7.39,7.39,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:40:24,enp6s0,920.98,1378.98,527.25,1753.05,0.00,0.00,0.42,0.57
plotter1,60,2022-01-05 00:41:24,lo,1.00,1.00,1.93,1.93,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 00:41:24,enp6s0,657.98,1003.83,318.04,1283.72,0.00,0.00,0.40,0.42
