HOSTNAME,SCENARIO,TESTCASE,START_RUN,LOG_INITIATE_SYNC,LOG_START_SYNC,LOG_DUST_START_SYNC,LOG_DUST_STOP_SYNC,SQLITE_DB_SIZE_BYTES,DESCRIPTION
harvester2,DUSTSTORM2,AUTOTEST1,2022-01-10T14:41:38,2022-01-10T14:58:06,2022-01-10T15:25:12,2022-01-10T15:48:10,2022-01-10T20:32:01,37329666048,"No Changes from branch"
harvester2,DUSTSTORM2,AUTOTEST5,2022-01-10T20:32:32,2022-01-10T20:58:37,2022-01-10T21:03:28,2022-01-10T21:25:30,2022-01-11T01:50:55,30208786432,"Only full blocks height + peak index; plus max num workers for block chain consensus"
harvester2,DUSTSTORM2,AUTOTEST45,2022-01-11T01:51:29,2022-01-11T02:26:07,2022-01-11T02:32:58,2022-01-11T02:51:34,2022-01-11T06:42:02,30209413120,"Only full blocks height + peak index; locking_mode=exclusive, synchronous=OFF, journal_mode=off, increase coin_records lru cache * 100, cache_spill=false, uncommited=true, max blockchain consensus threads"
