HOSTNAME,SCENARIO,TESTCASE,START_RUN,LOG_INITIATE_SYNC,LOG_START_SYNC,LOG_DUST_START_SYNC,LOG_DUST_STOP_SYNC,SQLITE_DB_SIZE_BYTES,DESCRIPTION
harvester2,DUSTSTORM1,AUTOTEST20,2022-01-01T22:54:56,2022-01-01T23:38:19,2022-01-01T23:45:46,2022-01-01T23:50:36,2022-01-02T05:35:02,22415163392,"Only full blocks height + peak index; page_size=8192"
harvester2,DUSTSTORM1,AUTOTEST24,2022-01-02T05:35:30,2022-01-02T05:46:40,2022-01-02T05:53:57,2022-01-02T05:58:37,2022-01-02T11:32:54,22396452864,"Only full blocks height + peak index; journal_mode=off"
harvester2,DUSTSTORM1,AUTOTEST25,2022-01-02T11:33:24,2022-01-02T11:45:55,2022-01-02T11:53:25,2022-01-02T11:57:57,2022-01-02T17:34:18,22397673472,"Only full blocks height + peak index; uncommitted=true"
